"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"582","تبصرة ملفات الحاسب المرتبطة مهمل","تبصرة ملفات الحاسب المرتبطة مهمل","1","0","0","","","","BKA"
"583","تبصرة إجراء","تبصرة إجراء","1","0","0","","","","BKA"
"584","تبصرة تراكم و تكرار الاستخدام","تبصرة تراكم و تكرار الاستخدام","1","0","0","","","","BKA"
"585","تبصرة المعارض","تبصرة المعارض","1","0","0","","","","BKA"
"586","تبصرة الجوائز","تبصرة الجوائز","1","0","0","","","","BKA"
"590","تبصرة محلية(RLIN)","تبصرة محلية(RLIN)","1","0","0","","","","BKA"
"600","رأس موضوع ــ اسم شخص","رأس موضوع ــ اسم شخص","1","0","0","","","","BKA"
"610","رأس موضوع ــ اسم هيئة","رأس موضوع ــ اسم هيئة","1","0","0","","","","BKA"
"611","المدخل الاضافى بالموضوع - عنوان مؤتمر","المدخل الاضافى بالموضوع - عنوان مؤتمر","1","0","0","","","","BKA"
"630","المدخل الاضافى بالموضوع - عنوان موحد","المدخل الاضافى بالموضوع - عنوان موحد","1","0","0","","","","BKA"
"648","المدخل الاضافى بالموضوع-مصطلح زمنى","المدخل الاضافى بالموضوع-مصطلح زمنى","1","0","0","","","","BKA"
"650","مدخل مصطلح موضوعي","مدخل مصطلح موضوعي","1","0","0","","","","BKA"
"651","رأس موضوع ــ اسم جغرافي","رأس موضوع ــ اسم جغرافي","1","0","0","","","","BKA"
"652","المدخل الاضافى بالموضوع- جغرافى مقلوب - مهمل","المدخل الاضافى بالموضوع- جغرافى مقلوب - مهمل","1","0","0","","","","BKA"
"653","مصطلح تكشيفى غير مقيد","مصطلح تكشيفى غير مقيد","1","0","0","","","","BKA"
"654","المدخل الاضافى بالموضوع - مصطلح موضوعى وجهى","المدخل الاضافى بالموضوع - مصطلح موضوعى وجهى","1","0","0","","","","BKA"
"655","مصطلح تكشيفى-نوع/شكل","مصطلح تكشيفى-نوع/شكل","1","0","0","","","","BKA"
"656","مصطلح تكشيفى - مهنه","مصطلح تكشيفى - مهنه","1","0","0","","","","BKA"
"657","مصطلح تكشيفى - وظيفة","مصطلح تكشيفى - وظيفة","1","0","0","","","","BKA"
"658","مصطلح تكشيفى - هدف منهجى","مصطلح تكشيفى - هدف منهجى","1","0","0","","","","BKA"
"662","المدخل الاضافى بالموضوع- اسم مكان هرمى","المدخل الاضافى بالموضوع- اسم مكان هرمى","1","0","0","","","","BKA"
"690","رأس موضوع محلى(OCLC, RLIN)","رأس موضوع محلى(OCLC, RLIN)","1","0","0","","","","BKA"
"691","المدخل الاضافى المحلى بالموضوع  - اسم جغرافى  (RLIN)","المدخل الاضافى المحلى بالموضوع  - اسم جغرافى (RLIN)","1","0","0","","","","BKA"
"696","المدخل الاضافى المحلى بالموضوع-اسم شخصى (RLIN)","المدخل الاضافى المحلى بالموضوع-اسم شخصى (RLIN)","1","0","0","","","","BKA"
"697","المدخل الاضافى المحلى بالموضوع - اسم هيئه (RLIN)","المدخل الاضافى المحلى بالموضوع - اسم هيئه (RLIN)","1","0","0","","","","BKA"
"698","المدخل الاضافى المحلى بالموضوع - عنوان مؤتمر (RLIN)","المدخل الاضافى المحلى بالموضوع - عنوان مؤتمر (RLIN)","1","0","0","","","","BKA"
"699","المدخل الاضافى المحلى بالموضوع - عنوان موحد (RLIN)","المدخل الاضافى المحلى بالموضوع - عنوان موحد (RLIN)","1","0","0","","","","BKA"
"700","مدخل إضافي ــ اسم شخص","مدخل إضافي ــ اسم شخص","1","0","0","","","","BKA"
"705","المدخل الاضافى- اسم شخصى(المؤدى) - مهمل","المدخل الاضافى- اسم شخصى(المؤدى) - مهمل","1","0","0","","","","BKA"
"710","مدخل إضافي ــ اسم هيئة","مدخل إضافي ــ اسم هيئة","0","0","0","","","","BKA"
"711","المدخل الاضافى -عنوان مؤتمر","المدخل الاضافى -عنوان مؤتمر","1","0","0","","","","BKA"
"715","المدخل الاضافى - اسم هيئة (المؤدى) - مهمل","المدخل الاضافى - اسم هيئة (المؤدى) - مهمل","1","0","0","","","","BKA"
"720","المدخل الاضافى - اسم غير مقيد","المدخل الاضافى - اسم غير مقيد","1","0","0","","","","BKA"
"730","المدخل الاضافى- عنوان موحد","المدخل الاضافى- عنوان موحد","1","0","0","","","","BKA"
"740","المدخل الاضافى - عنوان مرتبط/تحليلى غير مقيد","المدخل الاضافى - عنوان مرتبط/تحليلى غير مقيد","1","0","0","","","","BKA"
"752","المدخل الاضافى - اسم مكان هرمى","المدخل الاضافى - اسم مكان هرمى","1","0","0","","","","BKA"
"753","تفاصيل وصول النظام الى ملفات الحاسب","تفاصيل وصول النظام الى ملفات الحاسب","1","0","0","","","","BKA"
"754","المدخل الاضافى - رقم تصنيفى","المدخل الاضافى - رقم تصنيفى","1","0","0","","","","BKA"
"755","المدخل الاضافى - الخصائص المادية مهمل","المدخل الاضافى - الخصائص المادية مهمل","1","0","0","","","","BKA"
"760","مدخل السلسلة الرئيسية","مدخل السلسلة الرئيسية","1","0","0","","","","BKA"
"762","مدخل السلسلة الفرعية","مدخل السلسلة الفرعية","1","0","0","","","","BKA"
"765","مدخل اللغة الاصلية","مدخل اللغة الاصلية","1","0","0","","","","BKA"
"767","مدخل الترجمة","مدخل الترجمة","1","0","0","","","","BKA"
"770","مدخل ملحق/ اصدارة خاصة","مدخل ملحق/ اصدارة خاصة","1","0","0","","","","BKA"
"772","مدخل الملحق الام","مدخل الملحق الام","1","0","0","","","","BKA"
"773","مدخل المادة المضيفة","مدخل المادة المضيفة","1","0","0","","","","BKA"
"774","مدخل الوحدة المكونة","مدخل الوحدة المكونة","1","0","0","","","","BKA"
"775","مدخل طبعة اخرى","مدخل طبعة اخرى","1","0","0","","","","BKA"
"776","مدخل الشكل المادى الاضافى","مدخل الشكل المادى الاضافى","1","0","0","","","","BKA"
"777","مدخل صدر مع","مدخل صدر مع","1","0","0","","","","BKA"
"780","مدخل سابق","مدخل سابق","1","0","0","","","","BKA"
"785","مدخل لاحق","مدخل لاحق","1","0","0","","","","BKA"
"786","مدخل مصدر البيانات","مدخل مصدر البيانات","1","0","0","","","","BKA"
"787","مدخل العلاقة غير المحددة","مدخل العلاقة غير المحددة","1","0","0","","","","BKA"
"789","مدخل المادة المكونة(RLIN)","مدخل المادة المكونة(RLIN)","1","0","0","","","","BKA"
